Table Name,State Code,District code,Tehsil Code,Town Code,Area Name,Total/Rural/Urban,Location of source of drinking water,Total Number of Households,Tapwater from treated source,"Tapwater from
untreated source",Covered well,Uncovered well,Handpump,Tubewell/Borehole,Spring,"River/
Canal","Tank/
Pond/
Lake", Other sources
HH2206,29,559,5463,803069,Sindhnur (CMC),Urban,Near the premises,"4,688","3,441",585,12,10,390,76,68,2,45,59
HH2206,29,559,5463,803069,Sindhnur (CMC),Urban,Away,"2,786","1,237",439,26,47,216,314,8,1,297,201
HH2206,29,560,0,0,District  Koppal,Total,Total,"2,59,396","91,504","95,399","1,449","5,231","17,406","39,908",228,"2,060","4,503","1,708"
HH2206,29,560,0,0,District  Koppal,Total,Within the premises,"58,883","32,500","17,773",167,274,"1,111","7,058", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,0,0,District  Koppal,Total,Near the premises,"1,27,416","40,024","51,659",715,"2,791","7,920","21,453",86,"1,174","1,144",450
HH2206,29,560,0,0,District  Koppal,Total,Away,"73,097","18,980","25,967",567,"2,166","8,375","11,397",142,886,"3,359","1,258"
HH2206,29,560,0,0,District  Koppal,Rural,Total,"2,13,217","59,075","87,511","1,374","5,164","15,970","36,212",181,"1,881","4,481","1,368"
HH2206,29,560,0,0,District  Koppal,Rural,Within the premises,"41,056","18,639","15,891",122,257,979,"5,168", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,0,0,District  Koppal,Rural,Near the premises,"1,06,537","25,437","47,600",697,"2,746","7,250","20,283",46,"1,008","1,125",345
HH2206,29,560,0,0,District  Koppal,Rural,Away,"65,624","14,999","24,020",555,"2,161","7,741","10,761",135,873,"3,356","1,023"
HH2206,29,560,0,0,District  Koppal,Urban,Total,"46,179","32,429","7,888",75,67,"1,436","3,696",47,179,22,340
HH2206,29,560,0,0,District  Koppal,Urban,Within the premises,"17,827","13,861","1,882",45,17,132,"1,890", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,0,0,District  Koppal,Urban,Near the premises,"20,879","14,587","4,059",18,45,670,"1,170",40,166,19,105
HH2206,29,560,0,0,District  Koppal,Urban,Away,"7,473","3,981","1,947",12,5,634,636,7,13,3,235
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Total,Total,"49,595","9,447","29,972",132,227,"2,204","4,373",21,101,"2,564",554
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Total,Within the premises,"7,388","2,217","4,643",10,9,10,499, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Total,Near the premises,"25,357","3,604","17,337",91,96,845,"2,558",15,75,601,135
